V jenkins:promoted_builds ---expect--> org.jenkins-ci.plugins:promoted-builds
   > 19.5580  org.jenkins-ci.plugins:robot
   > 19.5580  org.jenkins-ci.plugins:report
   > 19.5580  org.jenkins-ci.plugins:greenballs
   > 19.5580  org.jenkins-ci.plugins:openstack
   > 19.5580  org.jenkins-ci.plugins:onealert
   > 19.5580  org.jenkins-ci.plugins:codecover
   > 19.5580  org.jenkins-ci.plugins:bearychat
   > 19.5580  org.jenkins-ci.plugins:loadcomplete
   > 19.5580  org.jenkins-ci.plugins:jigomerge
   > 19.5580  org.jenkins-ci.plugins:python
   > 19.5580  org.jenkins-ci.plugins:arestocats
   > 19.5580  org.jenkins-ci.plugins:rapiddeploy-jenkins
   > 19.5580  org.jenkins-ci.plugins:waptpro
   > 19.5580  org.jenkins-ci.plugins:worksoftcertifyprocessrunner
   > 19.5580  org.jenkins-ci.plugins:msbuild
   > 19.5580  org.jenkins-ci.plugins:codesonar
   > 19.5580  org.jenkins-ci.plugins:coverity
   > 19.5580  org.jenkins-ci.plugins:bitbucket
   > 19.5580  org.jenkins-ci.plugins:tfs
   > 19.5580  org.jenkins-ci.plugins:harvest
   > 19.5580  org.jenkins-ci.plugins:fitnesse
   > 19.5580  org.jenkins-ci.plugins:recipe
   > 19.5580  org.jenkins-ci.plugins:icescrum
   > 19.5580  org.jenkins-ci.plugins:nomad
   > 19.5580  org.jenkins-ci.plugins:tepco
   > 19.5580  org.jenkins-ci.plugins:onesky
   > 19.5580  org.jenkins-ci.plugins:variant
   > 19.5580  org.jenkins-ci.plugins:emma
   > 19.5580  org.jenkins-ci.plugins:karotz
   > 19.5580  org.jenkins-ci.plugins:mber
   > 19.5580  org.jenkins-ci.plugins:sametime
   > 19.5580  org.jenkins-ci.plugins:jsunit
   > 19.5580  org.jenkins-ci.plugins:ldap
   > 19.5580  org.jenkins-ci.plugins:copyartifact
   > 19.5580  org.jenkins-ci.plugins:xunit
   > 19.5580  org.jenkins-ci.plugins:powershell
   > 19.5580  org.jenkins-ci.plugins:genexus
   > 19.5580  org.jenkins-ci.plugins:rake
   > 19.5580  org.jenkins-ci.plugins:skytap
   > 19.5580  org.jenkins-ci.plugins:gallio
   > 19.5580  org.jenkins-ci.plugins:xshell
   > 19.5580  org.jenkins-ci.plugins:ivytrigger
   > 19.5580  io.jenkins.plugins:tricentis-ci
   > 19.5580  org.jenkins-ci.plugins:envfile
   > 19.5580  org.jenkins-ci.plugins:clamav
   > 19.5580  org.jenkins-ci.plugins:loadninja
   > 19.5580  org.jenkins-ci.plugins:appio
   > 19.5580  org.jenkins-ci.plugins:gravatar
   > 19.5580  org.jenkins-ci.plugins:deveo
   > 19.5580  org.jenkins-ci.plugins:testproject
   > 19.5580  org.jenkins-ci.plugins:appthwack
   > 19.5580  org.jenkins-ci.plugins:piwikanalytics
   > 19.5580  org.jenkins-ci.plugins:cppncss
   > 19.5580  org.jenkins-ci.plugins:urltrigger
   > 19.5580  org.jenkins-ci.plugins:dynaslave
   > 19.5580  org.jenkins-ci.plugins:qrebel
   > 19.5580  org.jenkins-ci.plugins:nodenamecolumn
   > 19.5580  org.jenkins-ci.plugins:scripttrigger
   > 19.5580  org.jenkins-ci.plugins:codefresh
   > 19.5580  org.jenkins-ci.plugins:setenv
   > 19.5580  org.jenkins-ci.plugins:vncrecorder
   > 19.5580  org.jenkins-ci.plugins:exam
   > 19.5580  org.jenkins-ci.plugins:mogotest
   > 19.5580  org.jenkins-ci.plugins:jobrequeue
   > 19.5580  org.jenkins-ci.plugins:klocwork
   > 19.5580  org.jenkins-ci.plugins:nodelabelparameter
   > 19.5580  org.jenkins-ci.plugins:matlab
   > 17.7009  org.jenkins-ci:jenkins
   > 17.5011  org.jenkins-ci.plugins:log-cli
   > 17.5011  org.jenkins-ci.plugins:docker-traceability
   > 17.5011  org.jenkins-ci.plugins:spring-initalzr
   > 17.5011  org.jenkins-ci.plugins.workflow:workflow-support
   > 17.5011  org.jenkins-ci.plugins:appdynamics-dashboard
   > 17.5011  org.jenkins-ci.plugins:javatest-report
   > 17.5011  org.jenkins-ci.plugins:cerberus-testing
   > 17.5011  org.jenkins-ci.plugins:TestComplete
   > 17.5011  org.jenkins-ci.plugins:nvm-wrapper
   > 17.5011  org.jenkins-ci.plugins.deploygate:deploygate-plugin
   > 17.5011  org.jenkins-ci.plugins:testcomplete11-xunit
   > 17.5011  org.jenkins-ci.plugins:liverebel-deploy
   > 17.5011  org.jenkins-ci.plugins:scm2job
   > 17.5011  org.jenkins-ci.plugins:github-issues
   > 17.5011  org.jenkins-ci.plugins:ws-ws-replacement
   > 17.5011  org.jenkins-ci.plugins:sonargraph-integration
   > 17.5011  org.jenkins-ci.plugins:tfs-sdk
   > 17.5011  org.jenkins-ci.plugins:authentication-tokens
   > 17.5011  org.jenkins-ci.plugins.logger:color-logger
   > 17.5011  org.jenkins-ci.plugins:xtrigger-api
   > 17.5011  org.jenkins-ci.plugins:pretested-integration
   > 17.5011  org.jenkins-ci.plugins:command-launcher
   > 17.5011  org.jenkins-ci.plugins:swarm-client
   > 17.5011  org.jenkins-ci.plugins:jira-finder
   > 17.5011  org.jenkins-ci.plugins:build-environment
   > 17.5011  org.jenkins-ci.plugins:pam-auth
   > 17.5011  org.jenkins-ci.plugins:crittercism-dsym
   > 17.5011  org.jenkins-ci.plugins:localization-plugin
   > 17.5011  org.jenkins-ci.plugins:gearman-plugin
   > 17.5011  org.jenkins-ci.plugins:aqua-serverless
   > 17.5011  org.jenkins-ci.plugins:openstack-heat
   > 17.5011  org.jenkins-ci.plugins:any-buildstep
   > 17.5011  org.jenkins-ci.plugins:vectorcast-execution
   > 17.5011  org.jenkins-ci.plugins:skype-notifier
   > 17.5011  org.jenkins-ci.plugins:plasticscm-plugin
   > 17.5011  org.jenkins-ci.plugins:smartfrog-plugin
   > 17.5011  org.jenkins-ci.plugins:slave-squatter
   > 17.5011  org.jenkins-ci.plugins:nutanix-calm
   > 17.5011  org.jenkins-ci.plugins:depgraph-view
   > 17.5011  org.jenkins-ci.plugins:content-replace
   > 17.5011  org.jenkins-ci.plugins:failure-visualizer
   > 17.5011  org.jenkins-ci.plugins:ftp-rename
   > 17.5011  org.jenkins-ci.plugins:webhook-step
   > 17.5011  org.jenkins-ci.plugins:purecm-plugin
   > 17.5011  org.jenkins-ci.plugins:oauth-credentials
   > 17.5011  org.jenkins-ci.plugins:cas-plugin
   > 17.5011  org.jenkins-ci.plugins:artifact-promotion
   > 17.5011  org.jenkins-ci.plugins:activiti-explorer
   > 17.5011  org.jenkins-ci.plugins:git-bisect
   > 17.5011  org.jenkins-ci.plugins:visual-basic-6
   > 17.5011  org.jenkins-ci.plugins:inline-pipeline
   > 17.5011  org.jenkins-ci.plugins:slave-setup
   > 17.5011  org.jenkins-ci.plugins:rpmsign-plugin
   > 17.5011  org.jenkins-ci.plugins:slave-proxy
   > 17.5011  org.jenkins-ci.plugins:plain-credentials
   > 17.5011  org.jenkins-ci.plugins:working-hours
   > 17.5011  org.jenkins-ci.plugins:ranorex-integration
   > 17.5011  org.jenkins-ci.plugins:schedule-display
   > 17.5011  org.jenkins-ci.plugins:jms-messaging
   > 17.5011  org.jenkins-ci.plugins:extra-columns
